title,skills,level,platform,course_id
"BI Foundations with SQL, ETL and Data Warehousing",data management;extract;transform;load;data warehousing;database administration;apache;computer programming;python programming;data analysis;databases;big data;database application;distributed computing architecture;cloud computing;computational thinking;database design;database theory;leadership and management;linux;sql;software architecture;business intelligence;ibm cloud,Beginner ,Coursera,C50
AI Foundations for Everyone,human learning;machine learning;artificial neural networks;deep learning;machine learning algorithms;human computer interaction;natural language processing;algorithms;applied machine learning;cloud computing;computer vision;ibm cloud;machine learning software;data analysis;cloud api;computer programming;data science,Beginner ,Coursera,C51
IBM IT Scrum Master,devops;software engineering;computer programming;agile software development;programming principles;software engineering tools;application development;software architecture;communication;continuous delivery;cloud applications;continuous integration;product management;scrum (software development);software-defined networking;leadership and management;project management;cloud computing;ibm cloud;information technology;operating systems;python programming,Beginner ,Coursera,C52
IBM Project Manager,software engineering;agile software development;scrum (software development);business analysis;communication;leadership and management;project management;risk management,Beginner ,Coursera,C53
IBM Applied DevOps Engineering,devops;software engineering;cloud computing;continuous delivery;continuous integration;application development;cloud applications;software architecture;security engineering;computer programming;kubernetes;cloud infrastructure;cloud-based integration;microarchitecture;software testing;agile software development;ibm cloud;docker (software);scrum (software development);software security;leadership and management,Intermediate ,Coursera,C54
IBM AI Engineering,machine learning;deep learning;human learning;artificial neural networks;python programming;machine learning algorithms;applied machine learning;algorithms;machine learning software;regression;statistical machine learning;network model;computer vision;apache;big data;data analysis;mathematical theory & analysis;computer programming;network architecture;data visualization;extract;transform;load;plot (graphics);tensorflow;visualization (computer graphics);customer analysis;decision making;dimensionality reduction;data science,Intermediate ,Coursera,C55
IT Fundamentals for Cybersecurity,cryptography;network security;linux;networking hardware;security software;system software;cloud computing;cyberattacks;databases;leadership and management;operating systems;sql;system security,Beginner ,Coursera,C56
Mathematics for Machine Learning and Data Science,mathematics;algebra;linear algebra;machine learning;machine learning algorithms;calculus;differential equations;regression;artificial neural networks;mathematical theory & analysis;python programming;algorithms;critical thinking;dimensionality reduction;general statistics;probability & statistics;statistical analysis,Beginner ,Coursera,C57
Python for Everybody,computer programming;python programming;computer programming tools;programming principles;data structures;computational thinking;computational logic;software engineering;algorithms;critical thinking;problem solving;data management;database application;databases;theoretical computer science;database administration;data model;data visualization;database design;database theory;web development;web development tools;computer networking;extract;transform;load;sql;html and css,Beginner ,Coursera,C58
Meta React Native,react (web framework);javascript;mobile development;mobile development tools;web development;html and css;front-end web development;web development tools;application development;computer programming;programming principles;user experience;web design;software engineering tools;sql;software engineering;agile software development;collaboration;data management;human computer interaction;interactive design;linux;product design;product lifecycle;project management,Beginner ,Coursera,C59
Project Execution: Running the Project,leadership and management;communication;project management;strategy and operations;business communication;collaboration;risk management;planning,Beginner ,Coursera,C60
Tableau Public for Project Management and Beyond,,,Coursera,C61
Meta Social Media Marketing,marketing;digital marketing;social media;advertising;communication;media strategy & planning;marketing management;customer analysis;brand management;business analysis;marketing design;sales;strategy and operations;data analysis;general statistics;market analysis;probability & statistics;leadership and management;research and design;creativity;planning;entrepreneurship,Beginner ,Coursera,C62
Foundations of Digital Marketing and E-commerce,digital marketing;marketing;e-commerce;strategy;data analysis;social media,Beginner ,Coursera,C63
Prompt Engineering for ChatGPT,creativity;problem solving;writing,Beginner ,Coursera,C64
Finance & Quantitative Modeling for Analysts,finance;business analysis;data analysis;financial analysis;accounting;forecasting;financial management;general accounting;general statistics;statistical analysis;financial accounting;mathematical theory & analysis;accounts payable and receivable;probability & statistics;basic descriptive statistics;correlation and dependence;data model;decision making;regression;generally accepted accounting principles (gaap);management accounting;statistical tests;strategy and operations;budget management;microsoft excel;spreadsheet software;entrepreneurship;linear algebra;computer programming,Beginner ,Coursera,C65
Introduction to Finance and Accounting,accounting;finance;financial accounting;general accounting;financial analysis;generally accepted accounting principles (gaap);accounts payable and receivable;cost accounting;account management;cash management;decision making;investment management;taxes;budget management;estimation;management accounting;problem solving;business analysis;mathematical theory & analysis;mathematics;data analysis;entrepreneurship;strategy and operations,Beginner ,Coursera,C66
AI in Healthcare,machine learning;leadership and management;data analysis;data mining,Beginner ,Coursera,C67
Machine Learning Engineering for Production (MLOps),machine learning;applied machine learning;python programming;statistical programming;tensorflow;devops;devops tools;exploratory data analysis;feature engineering;machine learning software;probability & statistics;cloud computing;deep learning;google cloud platform;other cloud platforms and tools;performance management;kubernetes;leadership and management,Advanced ,Coursera,C68
Play It Safe: Manage Security Risks,audit;leadership and management;risk management,Beginner ,Coursera,C69
Python 3 Programming,python programming;computer programming;problem solving,Beginner ,Coursera,C70
Natural Language Processing,natural language processing;machine learning;python programming;statistical programming;artificial neural networks;deep learning;probability & statistics;statistical machine learning;machine learning algorithms;applied machine learning;computer programming;human learning;mathematics,Intermediate ,Coursera,C71
DeepLearning.AI TensorFlow Developer,machine learning;tensorflow;deep learning;machine learning algorithms;artificial neural networks;applied machine learning;human learning;computer programming;python programming;machine learning software;natural language processing;computer vision;forecasting;algorithms;data visualization;network model;statistical machine learning;statistical analysis,Intermediate ,Coursera,C72
Meta Back-End Developer,python programming;databases;html and css;sql;database design;programming principles;algorithms;computer science;big data;react (web framework);software testing;web development;application development;back-end web development;cloud api;cloud computing;cloud infrastructure;collaboration;communication;computer programming;data model;data structures;data warehousing;database administration;database application;database theory;devops;django (web framework);front-end web development;full-stack web development;javascript;kubernetes;linux;problem solving;semantic web;software engineering;software engineering tools;statistical programming;tensorflow;web design;web development tools,Beginner ,Coursera,C73
Meta iOS Developer,mobile development;swift programming;ios development;computer programming;mobile development tools;react (web framework);application development;software engineering;data structures;user experience;user experience design;web development;computer programming tools;software engineering tools;front-end web development;algorithms;computer science;interactive design;javascript;collaboration;communication;data management;django (web framework);human computer interaction;linux;problem solving;product design;software architecture;web design,Beginner ,Coursera,C74
Foundations of User Experience (UX) Design,user experience;user experience design;user research;product development,Beginner ,Coursera,C75
Meta Android Developer,mobile development;computer programming;react (web framework);mobile development tools;application development;software engineering;android development;other programming languages;web development;user experience;algorithms;computer science;front-end web development;javascript;programming principles;cloud api;collaboration;communication;data management;data structures;human computer interaction;interactive design;linux;problem solving;product design;sql;software architecture;software engineering tools;swift programming;web design,Beginner ,Coursera,C76
Business and Financial Modeling,business analysis;data analysis;finance;general statistics;probability & statistics;financial analysis;statistical analysis;forecasting;mathematics;spreadsheet software;statistical tests;basic descriptive statistics;data model;mathematical theory & analysis;risk management;correlation and dependence;probability distribution;decision making;investment management;accounting;leadership and management;regression;financial accounting;microsoft excel;linear algebra;performance management;cash management;general accounting;computer programming,Beginner ,Coursera,C77
AI For Business,machine learning;machine learning algorithms;applied machine learning;data analysis;algorithms;human learning;leadership and management;business analysis;decision making;human resources;people management;people analysis;artificial neural networks;deep learning;business transformation;customer analysis;finance;financial accounting;marketing;probability & statistics;regulations and compliance;statistical machine learning;strategy;user experience;big data,Beginner ,Coursera,C78
Become a CBRS Certified Professional Installer by Google,communication;sas (software);regulations and compliance;systems design;system security;network architecture;process analysis;training;decision making;operating systems;leadership and management,Mixed ,Coursera,C79
Intuit Academy Bookkeeping,accounting;general accounting;financial accounting;business analysis;data analysis;financial analysis;cash management;finance;financial management;accounts payable and receivable;cost accounting;inventory management;accounting software;taxes,Beginner ,Coursera,C80
Google Business Intelligence,business intelligence;data management;data model;extract;transform;load;leadership and management;tableau software,Advanced ,Coursera,C81
Project Initiation: Starting a Successful Project,project management;strategy and operations;collaboration;communication;leadership and management;planning,Beginner ,Coursera,C82
Ask Questions to Make Data-Driven Decisions,business communication;data analysis;spreadsheet software;big data;communication;leadership and management;problem solving;small data,Beginner ,Coursera,C83
Meta Database Engineer,sql;databases;statistical programming;python programming;database design;programming principles;algorithms;computer science;big data;software testing;application development;collaboration;communication;computer programming;data analysis;data management;data model;data structures;data warehousing;database administration;database application;database theory;django (web framework);javascript;linux;problem solving;project management;software engineering;software engineering tools;tableau software;tensorflow;web development,Beginner ,Coursera,C84
Microsoft Cybersecurity Analyst,cloud computing;computer architecture;cryptography;data management;leadership and management;microsoft azure;network security;operating systems,Beginner ,Coursera,C85
Análisis de Datos de Google,data analysis;data management;databases;exploratory data analysis;data visualization;sql;business analysis;microsoft excel;process analysis;statistical programming;data structures;extract;transform;load;spreadsheet software;communication;computer programming;problem solving;strategy;visualization (computer graphics);organizational development;tableau software;data analysis software;plot (graphics);programming principles;r programming;strategy and operations;research and design;business communication;computer programming tools;computer graphics;data model;security engineering;system security,Beginner ,Coursera,C86
Business Analytics,data analysis;business analysis;probability & statistics;statistical analysis;leadership and management;basic descriptive statistics;exploratory data analysis;financial analysis;forecasting;data model;mathematics;performance management;strategy;accounting;customer analysis;human resources;human resources operations;market analysis;market research;marketing;mathematical theory & analysis;operations management;operations research;organizational development;people analysis;people management;spreadsheet software;talent management;financial accounting;people development;collaboration;finance;regulations and compliance,Beginner ,Coursera,C87
HRCI Human Resource Associate,benefits;employee relations;mergers & acquisitions;performance management;recruitment;risk management;training,Beginner ,Coursera,C88
Connect and Protect: Networks and Network Security,network security;cloud computing;network architecture,Beginner ,Coursera,C89
Financial Markets,finance;investment management;risk management;banking;behavioral economics;critical thinking;decision making;financial analysis;innovation;regulations and compliance;leadership and management,Beginner ,Coursera,C90
Ciberseguridad de Google,linux;python programming;sql,Beginner ,Coursera,C91
Indigenous Canada,critical thinking,Mixed ,Coursera,C92
The Bits and Bytes of Computer Networking,computer networking;network architecture;network model;networking hardware;network analysis;critical thinking;problem solving;computer architecture;human computer interaction;network security;cloud computing,Beginner ,Coursera,C93
SAP Technology Consultant,leadership and management;strategy and operations;cloud-based integration;business analysis;business transformation;business process management;cloud applications;strategy;customer analysis;planning;product management;project management;business intelligence;software as a service;supply chain and logistics;cloud standards;cloud computing;network architecture;software architecture;system software;communication,Beginner ,Coursera,C94
IBM Machine Learning,machine learning;machine learning algorithms;human learning;statistical machine learning;data analysis;algorithms;probability & statistics;applied machine learning;forecasting;general statistics;statistical analysis;regression;deep learning;python programming;machine learning software;artificial neural networks;exploratory data analysis;feature engineering;dimensionality reduction;statistical tests;reinforcement learning;data model;data structures;network model;tensorflow,Intermediate ,Coursera,C95
"TESOL Certificate, Part 1: Teach English Now!",human learning;planning;strategy;mergers & acquisitions,Beginner ,Coursera,C96
Preparing for Google Cloud Certification: Cloud Architect,google cloud platform;cloud computing;cloud applications;cloud engineering;cloud platforms;cloud infrastructure;cloud management;cloud storage;other cloud platforms and tools;cloud standards;cloud-based integration;computer networking;devops;google app engine;computer architecture;kubernetes;billing & invoicing;computer security models;critical thinking;network architecture;computer programming;operational analysis;software testing;leadership and management,Intermediate ,Coursera,C97
IBM Introduction to Machine Learning,machine learning;machine learning algorithms;algorithms;statistical machine learning;human learning;probability & statistics;applied machine learning;data analysis;regression;general statistics;feature engineering;machine learning software;exploratory data analysis;dimensionality reduction;statistical analysis;data model;statistical tests;data structures,Intermediate ,Coursera,C98
Advanced Learning Algorithms,applied machine learning;machine learning;machine learning algorithms;algorithms;artificial neural networks;deep learning;network model;tensorflow;machine learning software;python programming,Beginner ,Coursera,C99
Preparing for Google Cloud Certification: Cloud Engineer,cloud computing;google cloud platform;cloud platforms;cloud applications;cloud engineering;cloud storage;cloud infrastructure;cloud management;computer networking;cloud standards;cloud-based integration;computer architecture;google app engine;other cloud platforms and tools;devops;computer programming tools;kubernetes;network architecture;computer programming;billing & invoicing;leadership and management,Intermediate ,Coursera,C100
Architecting with Google Compute Engine,cloud applications;cloud computing;google cloud platform;cloud infrastructure;cloud platforms;cloud management;other cloud platforms and tools;cloud engineering;cloud storage;cloud-based integration;computer networking;google app engine;network architecture;computer programming;kubernetes;leadership and management,Intermediate ,Coursera,C101
Prepare Data for Exploration,data management;data analysis;databases;microsoft excel;sql;spreadsheet software,Beginner ,Coursera,C102
Neural Networks and Deep Learning,artificial neural networks;deep learning;machine learning;machine learning algorithms;python programming;computer programming;network architecture;network model;calculus;human learning;regression;mathematics,Intermediate ,Coursera,C103
Microsoft 365 Fundamentals,visual design;communication;microsoft excel;data visualization;interactive data visualization;spreadsheet software;computer graphics;critical thinking;data analysis;visualization (computer graphics);business communication;collaboration;data model;user experience;computer graphic techniques;research and design;statistical visualization;user experience design;writing;data analysis software;graphic design;operational analysis;databases;marketing design;software architecture,Beginner ,Coursera,C104
Leading the Modern Day Business,leadership and management;strategy and operations;entrepreneurship;marketing;sales;strategy;business analysis;business transformation;product management;business process management;creativity;innovation;planning;product strategy;storytelling,Beginner ,Coursera,C105
Gestión de Proyectos de Google,leadership and management;project management;strategy and operations;organizational development;planning;strategy;collaboration;communication;adaptability;change management;critical thinking;decision making;media strategy & planning;process analysis;probability & statistics;risk management;scrum (software development);agile software development;budget management;natural language processing;product management;search engine optimization;business communication;product development;software engineering;supply chain and logistics,Beginner ,Coursera,C106
Digital Product Management,agile software development;product management;leadership and management;design and product;software engineering;product development;project management;user experience;customer analysis;product design;research and design;data analysis;business analysis;communication;continuous delivery;planning;probability distribution;product strategy;strategy,Beginner ,Coursera,C107
Modern Project Management,business analysis;communication;project management;risk management,Beginner ,Coursera,C108
Graphic Design,graphic design;design and product;visual design;communication;computer graphic techniques;computer graphics;creativity;visualization (computer graphics);geometry;interactive design,Beginner ,Coursera,C109
Leadership Skills,communication;conflict management;leadership and management;people management,Beginner ,Coursera,C110
Improve Your English Communication Skills,communication;writing;business communication;professional development,Beginner ,Coursera,C111
The Materiality of ESG Factors,risk management;leadership and management;investment management;regulations and compliance;business analysis;decision making;strategy and operations;performance management;strategy;critical thinking;financial analysis;business research;business transformation;change management;finance;conflict management;data analysis;organizational development;supply chain and logistics;human resources;innovation;leadership development;people development;public relations;resilience;supplier relationship management,Beginner ,Coursera,C112
Regulatory Compliance,regulations and compliance;critical thinking;leadership and management;organizational development;risk management;strategy and operations;strategy;finance;decision making;employee relations;problem solving;communication;operations management;brand management;data management,Intermediate ,Coursera,C113
IBM Data Science,,,Coursera,C114
Preparing for Google Cloud Certification: Machine Learning Engineer,machine learning;google cloud platform;applied machine learning;cloud computing;human learning;machine learning software;cloud platforms;machine learning algorithms;tensorflow;deep learning;feature engineering;artificial neural networks;training;devops;exploratory data analysis;python programming;cloud-based integration;data analysis;data visualization;big data;probability & statistics;regression;statistical programming;statistical visualization;algorithms;continuous integration;sql;cloud api;apache;extract;transform;load;docker (software),Intermediate ,Coursera,C115
Tools of the Trade: Linux and SQL,linux;databases;sql,Beginner ,Coursera,C116
Preparing for Google Cloud Certification: Cloud DevOps Engineer,devops;cloud applications;cloud computing;google cloud platform;communication;leadership and management;cloud engineering;cloud infrastructure;cloud platforms;other cloud platforms and tools;cloud management;cloud storage;collaboration;cloud-based integration;design and product;entrepreneurship;product development;product management;strategy and operations;google app engine;research and design;kubernetes;docker (software);culture,Beginner ,Coursera,C117
Google Cloud Database Engineer,cloud computing;google cloud platform;databases;cloud platforms;cloud applications;cloud engineering;cloud infrastructure;other cloud platforms and tools;cloud management;cloud storage;cloud-based integration;data management;google app engine;database administration;database application;kubernetes;sql;data analysis;postgresql,Intermediate ,Coursera,C118
Project Planning: Putting It All Together,project management;strategy and operations;leadership and management;entrepreneurship;finance;planning;supply chain and logistics;budget management;communication;risk management;procurement,Beginner ,Coursera,C119
The Science of Well-Being,(36.9k reviews),Mixed ,Coursera,C120
AWS Cloud Technology Consultant,amazon web services;cloud api;cloud computing;cloud infrastructure;cloud storage;continuous integration;customer support;data analysis;data architecture;devops;information technology;leadership and management;project management;python programming;software architecture;software testing;strategy;web development,Beginner ,Coursera,C121
